Iteration,Rolling Sizes CDunit,Rolling Sizes FB554,Rolling Sizes AlCon,Shift Hours AlCon,Shift Hours FB554,R-squared,Adj R-Squared,F-statistic,Prob (F-statistic)
2710,8,10,10,-4,4,0.794615286,0.794364708,3171.137201,0
2711,8,10,10,-4,6,0.794615286,0.794364708,3171.137201,0
2712,8,10,10,-4,8,0.794615286,0.794364708,3171.137201,0
2713,8,10,10,-6,2,0.794615286,0.794364708,3171.137201,0
2714,8,10,10,-6,4,0.794615286,0.794364708,3171.137201,0
2715,8,10,10,-6,6,0.794615286,0.794364708,3171.137201,0
2716,8,10,10,-6,8,0.794615286,0.794364708,3171.137201,0
2717,8,10,10,-8,2,0.794615286,0.794364708,3171.137201,0
2718,8,10,10,-8,4,0.794615286,0.794364708,3171.137201,0
2719,8,10,10,-8,6,0.794615286,0.794364708,3171.137201,0
2720,8,10,10,-8,8,0.794615286,0.794364708,3171.137201,0
2721,8,10,12,-2,2,0.79461515,0.794364572,3171.134556,0
2722,8,10,12,-2,4,0.79461515,0.794364572,3171.134556,0
2723,8,10,12,-2,6,0.79461515,0.794364572,3171.134556,0
2724,8,10,12,-2,8,0.79461515,0.794364572,3171.134556,0
2725,8,10,12,-4,2,0.79461515,0.794364572,3171.134556,0
2726,8,10,12,-4,4,0.79461515,0.794364572,3171.134556,0
2727,8,10,12,-4,6,0.79461515,0.794364572,3171.134556,0
2728,8,10,12,-4,8,0.79461515,0.794364572,3171.134556,0
2729,8,10,12,-6,2,0.79461515,0.794364572,3171.134556,0
2730,8,10,12,-6,4,0.79461515,0.794364572,3171.134556,0
2731,8,10,12,-6,6,0.79461515,0.794364572,3171.134556,0
2732,8,10,12,-6,8,0.79461515,0.794364572,3171.134556,0
2733,8,10,12,-8,2,0.79461515,0.794364572,3171.134556,0
2734,8,10,12,-8,4,0.79461515,0.794364572,3171.134556,0
2735,8,10,12,-8,6,0.79461515,0.794364572,3171.134556,0
2736,8,10,12,-8,8,0.79461515,0.794364572,3171.134556,0
2689,8,10,8,-2,2,0.794614776,0.794364198,3171.127305,0
2690,8,10,8,-2,4,0.794614776,0.794364198,3171.127305,0
2691,8,10,8,-2,6,0.794614776,0.794364198,3171.127305,0
2692,8,10,8,-2,8,0.794614776,0.794364198,3171.127305,0
2693,8,10,8,-4,2,0.794614776,0.794364198,3171.127305,0
2694,8,10,8,-4,4,0.794614776,0.794364198,3171.127305,0
2695,8,10,8,-4,6,0.794614776,0.794364198,3171.127305,0
2696,8,10,8,-4,8,0.794614776,0.794364198,3171.127305,0
2697,8,10,8,-6,2,0.794614776,0.794364198,3171.127305,0
2698,8,10,8,-6,4,0.794614776,0.794364198,3171.127305,0
2699,8,10,8,-6,6,0.794614776,0.794364198,3171.127305,0
2700,8,10,8,-6,8,0.794614776,0.794364198,3171.127305,0
2701,8,10,8,-8,2,0.794614776,0.794364198,3171.127305,0
2702,8,10,8,-8,4,0.794614776,0.794364198,3171.127305,0
2703,8,10,8,-8,6,0.794614776,0.794364198,3171.127305,0
2704,8,10,8,-8,8,0.794614776,0.794364198,3171.127305,0
2737,8,10,14,-2,2,0.794614667,0.794364089,3171.125185,0
2738,8,10,14,-2,4,0.794614667,0.794364089,3171.125185,0
2739,8,10,14,-2,6,0.794614667,0.794364089,3171.125185,0
2740,8,10,14,-2,8,0.794614667,0.794364089,3171.125185,0
2741,8,10,14,-4,2,0.794614667,0.794364089,3171.125185,0
2742,8,10,14,-4,4,0.794614667,0.794364089,3171.125185,0
2743,8,10,14,-4,6,0.794614667,0.794364089,3171.125185,0
2744,8,10,14,-4,8,0.794614667,0.794364089,3171.125185,0
2745,8,10,14,-6,2,0.794614667,0.794364089,3171.125185,0
2746,8,10,14,-6,4,0.794614667,0.794364089,3171.125185,0
2747,8,10,14,-6,6,0.794614667,0.794364089,3171.125185,0
2748,8,10,14,-6,8,0.794614667,0.794364089,3171.125185,0
2749,8,10,14,-8,2,0.794614667,0.794364089,3171.125185,0
2750,8,10,14,-8,4,0.794614667,0.794364089,3171.125185,0
2751,8,10,14,-8,6,0.794614667,0.794364089,3171.125185,0
2752,8,10,14,-8,8,0.794614667,0.794364089,3171.125185,0
2753,8,10,16,-2,2,0.794613847,0.794363268,3171.109253,0
2754,8,10,16,-2,4,0.794613847,0.794363268,3171.109253,0
2755,8,10,16,-2,6,0.794613847,0.794363268,3171.109253,0
2756,8,10,16,-2,8,0.794613847,0.794363268,3171.109253,0
2757,8,10,16,-4,2,0.794613847,0.794363268,3171.109253,0
2758,8,10,16,-4,4,0.794613847,0.794363268,3171.109253,0
2759,8,10,16,-4,6,0.794613847,0.794363268,3171.109253,0
2760,8,10,16,-4,8,0.794613847,0.794363268,3171.109253,0
2761,8,10,16,-6,2,0.794613847,0.794363268,3171.109253,0
2762,8,10,16,-6,4,0.794613847,0.794363268,3171.109253,0
2763,8,10,16,-6,6,0.794613847,0.794363268,3171.109253,0
2764,8,10,16,-6,8,0.794613847,0.794363268,3171.109253,0
2765,8,10,16,-8,2,0.794613847,0.794363268,3171.109253,0
2766,8,10,16,-8,4,0.794613847,0.794363268,3171.109253,0
2767,8,10,16,-8,6,0.794613847,0.794363268,3171.109253,0
2768,8,10,16,-8,8,0.794613847,0.794363268,3171.109253,0
2673,8,10,6,-2,2,0.794613667,0.794363088,3171.10575,0
2674,8,10,6,-2,4,0.794613667,0.794363088,3171.10575,0
2675,8,10,6,-2,6,0.794613667,0.794363088,3171.10575,0
2676,8,10,6,-2,8,0.794613667,0.794363088,3171.10575,0
2677,8,10,6,-4,2,0.794613667,0.794363088,3171.10575,0
2678,8,10,6,-4,4,0.794613667,0.794363088,3171.10575,0
2679,8,10,6,-4,6,0.794613667,0.794363088,3171.10575,0
2680,8,10,6,-4,8,0.794613667,0.794363088,3171.10575,0
2681,8,10,6,-6,2,0.794613667,0.794363088,3171.10575,0
2682,8,10,6,-6,4,0.794613667,0.794363088,3171.10575,0
2683,8,10,6,-6,6,0.794613667,0.794363088,3171.10575,0
2684,8,10,6,-6,8,0.794613667,0.794363088,3171.10575,0
2685,8,10,6,-8,2,0.794613667,0.794363088,3171.10575,0
2686,8,10,6,-8,4,0.794613667,0.794363088,3171.10575,0
