Date,4250 SAO Al
1/12/2021 17:00,5.722
1/11/2021 17:00,5.995
1/9/2021 17:00,6.069
1/8/2021 17:00,5.256
1/7/2021 17:00,6.046
1/6/2021 17:00,6.036
1/5/2021 17:00,5.976
1/4/2021 17:00,5.947
1/3/2021 17:00,5.922
1/2/2021 17:00,5.951
1/1/2021 17:00,5.949
12/31/2020 17:00,5.854
12/29/2020 17:00,5.33
12/28/2020 17:00,6.979
12/27/2020 17:00,5.881
12/26/2020 17:00,5.573
12/25/2020 17:00,5.582
12/24/2020 17:00,5.888
12/23/2020 17:00,4.975
12/22/2020 17:00,4.777
12/21/2020 17:00,5.472
12/20/2020 17:00,4.64
12/17/2020 17:00,5.81
12/16/2020 17:00,6.166
12/15/2020 17:00,5.26
12/14/2020 17:00,5.814
12/11/2020 17:00,6.004
12/10/2020 17:00,5.21
12/9/2020 17:00,5.541
12/7/2020 17:00,6.087
12/5/2020 17:00,6.065
12/4/2020 17:00,5.906
12/3/2020 17:00,6.007
12/3/2020 17:00,6.007
12/2/2020 17:00,5.938
11/30/2020 17:00,6.1
11/29/2020 17:00,6.145
11/28/2020 17:00,6.043
11/26/2020 17:00,3.322
11/24/2020 17:00,6.204
11/24/2020 17:00,6.204
11/23/2020 17:00,6.311
11/21/2020 17:00,6.284
11/20/2020 17:00,6.376
11/18/2020 17:00,6.54
11/17/2020 17:00,6.715
11/16/2020 17:00,6.851
11/15/2020 17:21,6.755
11/14/2020 17:00,6.028
11/13/2020 17:00,6.293
11/12/2020 17:00,6.542
11/11/2020 17:00,6.256
11/10/2020 17:00,6.332
11/7/2020 20:02,6.088
11/6/2020 20:30,6.047
11/5/2020 17:00,3.913
11/5/2020 9:25,6.292
11/4/2020 17:00,6.836
10/30/2020 17:00,0.219
10/30/2020 17:00,0.219
10/30/2020 17:00,0.219
10/30/2020 17:00,0.219
10/30/2020 17:00,0.219
10/30/2020 17:00,0.219
10/30/2020 17:00,0.219
10/30/2020 17:00,0.219
10/30/2020 17:00,0.219
10/30/2020 17:00,0.219
10/30/2020 17:00,0.219
10/22/2020 7:49,6.708
