Date,425 SAO Al
2015-09-16 05:00:00,6.355
2015-09-19 05:00:00,6.407
2015-09-20 05:00:00,6.461
2015-09-21 05:00:00,6.504
2015-09-22 05:00:00,6.509
2015-09-23 05:00:00,6.404
2015-09-25 05:00:00,6.439
2015-09-27 05:00:00,6.343
2015-09-28 05:00:00,6.433
2015-09-29 05:00:00,6.307
2015-09-30 05:00:00,6.397
2015-10-02 05:00:00,6.226
2015-10-03 05:00:00,5.974
2015-10-04 05:00:00,5.933
2015-10-05 05:00:00,6.235
2015-10-06 05:00:00,5.136
2015-10-08 05:00:00,6.241
2015-10-09 05:00:00,6.288
2015-10-10 05:00:00,6.325
2015-10-13 05:00:00,6.36
2015-10-14 05:00:00,6.25
2015-10-15 05:00:00,6.236
2015-10-16 05:00:00,6.188
2015-10-17 05:00:00,6.227
2015-10-18 05:00:00,6.262
2015-10-19 05:00:00,6.236
2015-10-20 05:00:00,6.266
2015-10-21 05:00:00,6.192
2015-10-22 05:00:00,6.199
2015-10-23 05:00:00,6.257
2015-10-25 05:00:00,6.228
2015-10-27 05:00:00,6.187
2015-10-28 05:00:00,6.314
2015-10-29 05:00:00,6.22
2015-10-30 05:00:00,5.395
2015-11-01 05:00:00,6.218
2015-11-02 05:00:00,6.01
2015-11-04 05:00:00,6.222
2015-11-06 05:00:00,6.386
2015-11-08 05:00:00,6.675
2015-11-09 05:00:00,6.783
2015-11-10 05:00:00,6.074
2015-11-11 05:00:00,5.991
2015-11-12 05:00:00,6.027
2015-11-13 05:00:00,5.928
2015-11-14 05:00:00,6.274
2015-11-15 05:00:00,6.184
2015-11-16 05:00:00,6.247
2015-11-17 05:00:00,6.218
2015-11-18 05:00:00,6.208
2015-11-19 05:00:00,6.21
2015-11-21 05:00:00,6.184
2015-11-22 05:00:00,6.235
2015-11-23 05:00:00,6.136
2015-11-24 05:00:00,6.041
2015-11-25 05:00:00,5.209
2015-11-26 05:00:00,6.0
2015-11-28 05:00:00,6.217
2015-11-29 05:00:00,6.126
2015-11-30 05:00:00,6.168
2015-12-01 05:00:00,5.79
2015-12-02 05:00:00,6.241
2015-12-03 05:00:00,6.23
2015-12-05 05:00:00,6.061
2015-12-06 05:00:00,6.183
2015-12-15 05:00:00,6.305
2015-12-17 05:00:00,6.237
2015-12-18 05:00:00,6.127
2015-12-19 05:00:00,6.038
2015-12-20 05:00:00,6.056
2015-12-21 05:00:00,6.004
2015-12-22 05:00:00,6.268
2015-12-23 05:00:00,6.212
2015-12-24 05:00:00,6.516
2015-12-25 05:00:00,6.403
2015-12-26 05:00:00,6.026
2015-12-27 05:00:00,6.2
2015-12-28 05:00:00,6.119
2015-12-29 05:00:00,5.998
2015-12-30 05:00:00,6.106
2015-12-31 05:00:00,6.208
2016-01-01 05:00:00,6.193
2016-01-02 05:00:00,6.213
2016-01-03 05:00:00,6.228
2016-01-04 05:00:00,6.077
2016-01-05 05:00:00,6.243
2016-01-06 05:00:00,6.251
2016-01-07 05:00:00,6.192
2016-01-08 05:00:00,6.199
2016-01-08 10:00:00,6.319
2016-01-09 05:00:00,6.24
2016-01-10 05:00:00,6.105
2016-01-11 05:00:00,6.08
2016-01-12 05:00:00,6.058
2016-01-13 05:00:00,6.009
2016-01-14 05:00:00,6.068
2016-01-15 05:00:00,6.097
2016-01-15 09:00:00,6.038
2016-01-16 05:00:00,5.984
2016-01-23 05:00:00,6.098
2016-01-24 05:00:00,6.04
2016-01-25 05:00:00,5.74
2016-01-26 05:00:00,6.094
2016-01-27 05:00:00,6.111
2016-01-28 05:00:00,6.138
2016-01-29 05:00:00,6.146
2016-01-30 05:00:00,6.072
2016-01-31 05:00:00,6.035
2016-02-03 05:00:00,6.1
2016-02-04 05:00:00,6.127
2016-02-06 05:00:00,6.091
2016-02-07 05:00:00,6.036
2016-02-08 05:00:00,5.998
2016-02-09 05:00:00,6.021
2016-02-10 05:00:00,5.978
2016-02-11 05:00:00,6.038
2016-02-12 05:00:00,6.091
2016-02-13 05:00:00,6.01
2016-02-14 05:00:00,6.085
2016-02-15 05:00:00,6.101
2016-02-17 05:00:00,5.335
2016-02-18 05:00:00,5.309
2016-02-19 05:00:00,5.949
2016-02-20 05:00:00,6.103
2016-02-21 05:00:00,6.111
2016-02-22 05:00:00,6.103
2016-02-23 05:00:00,6.157
2016-02-24 05:00:00,6.117
2016-02-25 05:00:00,6.138
2016-02-26 05:00:00,6.131
2016-02-27 05:00:00,6.187
2016-02-28 05:00:00,6.141
2016-02-29 05:00:00,6.166
2016-03-01 05:00:00,6.14
2016-03-03 05:00:00,5.857
2016-03-04 05:00:00,6.051
2016-03-05 05:00:00,6.087
2016-03-06 05:00:00,6.101
2016-03-07 05:00:00,6.089
2016-03-08 05:00:00,6.064
2016-03-09 05:00:00,5.944
2016-03-10 05:00:00,5.946
2016-03-11 05:00:00,5.992
2016-03-15 05:00:00,5.925
2016-03-16 05:00:00,5.704
2016-03-17 05:00:00,5.982
2016-03-18 05:00:00,5.932
2016-03-19 05:00:00,6.69
2016-03-19 05:00:00,5.856
2016-03-20 05:00:00,5.933
2016-03-20 05:00:00,5.474
2016-03-21 05:00:00,5.976
2016-03-22 05:00:00,6.012
2016-03-23 05:00:00,5.821
2016-03-24 05:00:00,6.013
2016-03-25 05:00:00,5.788
2016-03-26 05:00:00,5.972
2016-03-28 05:00:00,5.928
2016-03-29 05:00:00,5.845
2016-03-30 05:00:00,5.918
2016-04-01 05:00:00,5.94
